material Group_Number_difference Pauling_EN Gordy_EN Mulliken_EN Mulliken_Mean_EN Pauling_Mean_EN Gordy_Mean_EN Sum_of_Valence_e- Atomic_number_sum Atomic_radius_sum Covalent_radius_sum Covalent_radius_ratio 2xcovalent_radius_difference Crystal_radius_sum Crystal_radius_ratio 2xcrystal_radius_difference Period_number_difference Quantum_number_sum Quantum_number_difference Martynov-Batsanov_EN Allred-Rochow_EN Martynov-Batsanov_Mean_EN Allred-Rochow_Mean_EN Martynov_Ionic_Character Atomic_radius_ratio Zungerradius_sum_ratio 2xZunger_radius_sum_difference Ionic_radius_ratio 2xionic_radius_difference Group_number_sum Family_number_sum
SrTl_group1 11 0.67 1.3030000000000002 1.2 2.6 1.285 4.0103 5 119 3.9 3.39 0.77486911 0.86 2.35 0.78030303 0.58 1 1 1 0.56 0.826 1.41 1.376 0.075405485 0.95 0.696261682 1.95 0.95 0.2 15 7
SrHg_group1 10 1.05 4.8881 2.91 3.455 1.475 5.80285 14 118 3.5 3.4 0.780104712 0.84 2.15 0.628787879 0.98 1 2 2 0.36 0.797 1.31 1.3615 0.031880742999999996 0.75 0.750778816 1.6 0.75 1.0 14 6
SrCd_group1 10 0.74 0.5599 2.33 3.165 1.32 3.63875 14 86 3.55 3.39 0.77486911 0.86 2.24 0.696969697 0.8 0 0 0 0.27 0.557 1.265 1.2415 0.018059929 0.775 0.690031153 1.99 0.775 0.9 14 6
RbAu_group1 10 1.72 4.7905 3.43 4.055 1.68 5.58385 12 116 3.7 3.5 0.62037037 1.64 3.17 0.909638554 0.3 1 2 2 0.39 1.214 0.995 1.3130000000000002 0.037311127 0.574468085 0.648780488 2.88 0.574468085 2.0 12 5
BrTl_group1 4 1.34 1.7461 4.39 5.395 2.29 5.53485 10 116 3.05 2.62 0.77027027 0.68 2.85 0.5659340660000001 1.58 2 2 0 1.14 0.8959999999999999 2.26 2.237 0.27740039 0.605263158 0.536912752 2.07 0.605263158 1.5 30 13
YHg_group1 9 0.78 4.8426 1.72 4.05 1.61 5.8256 15 119 3.3 3.11 0.9197530859999999 0.26 1.87 0.798076923 0.42 1 4 0 0.08 0.64 1.45 1.44 0.001598721 0.833333333 0.819727891 1.06 0.810810811 0.7 15 7
RuHf_group1 4 0.9 2.7036 0.7 4.15 1.75 5.0186 12 116 2.85 2.69 0.868055556 0.38 1.67 0.9647058820000001 0.06 1 4 0 0.24 0.38 1.85 1.35 0.014296816 0.838709677 0.8951890029999999 0.61 0.838709677 0.5 12 8
CuTb_group1 8 0.7 1.5743 1.38 3.79 1.55 4.45085 14 94 3.1 2.76 0.735849057 0.84 1.89 0.601694915 0.94 2 5 1 0.12 0.76 1.14 1.47 0.003593528 0.771428571 0.524421594 3.7 0.771428571 0.8 14 6
CuEu_group1 8 1.9 1.3364 1.38 3.79 0.95 4.3319 14 92 3.2 3.02 0.632432432 1.36 2.02 0.5419847329999999 1.2 2 5 1 0.07 0.76 1.115 1.47 0.00122425 0.72972973 0.517766497 3.8 0.72972973 1.0 14 6
TiZn_group1 8 0.11 0.6156 1.0 3.95 1.595 3.4437 16 52 2.75 2.57 0.946969697 0.14 1.49 0.986666667 0.02 0 4 0 0.42 0.21 1.65 1.485 0.043141733 0.9642857140000001 0.728682171 1.4 0.9642857140000001 0.1 16 6
TiNi_group1 6 0.37 0.4432 0.95 3.925 1.725 3.3575 14 50 2.75 2.47 0.8712121209999999 0.34 1.45 0.933333333 0.1 0 4 0 0.1 0.5 1.81 1.63 0.0024968779999999997 0.9642857140000001 0.84496124 0.8 0.9642857140000001 0.1 14 6
TiCo_group1 5 0.34 0.3617 0.85 3.875 1.71 3.31675 13 49 2.75 2.48 0.8787878790000001 0.32 1.29 0.72 0.42 0 4 0 0.14 0.46 1.79 1.61 0.004888015 0.9642857140000001 0.782945736 1.12 0.9642857140000001 0.1 13 6
TiFe_group1 4 0.29 0.2831 0.61 3.755 1.685 3.27745 12 48 2.8 2.49 0.8863636359999999 0.3 1.44 0.92 0.12 0 4 0 0.19 0.42 1.765 1.59 0.008984397 1.0 0.817829457 0.94 1.0 0.0 12 6
ScHg_group1 9 0.64 5.1741 1.57 4.125 1.68 5.65985 15 101 3.1 2.93 0.9664429529999999 0.1 1.72 0.93258427 0.12 2 4 0 0.01 0.57 1.495 1.475 2.5e-05 0.9375 0.8763636359999999 0.68 0.9375 0.2 15 7
ScAu_group1 8 1.18 4.9063 2.43 4.555 1.95 5.52595 14 100 2.95 2.78 0.930555556 0.2 2.4 0.589403974 1.24 2 4 0 0.31 0.73 1.345 1.555 0.023738697000000003 0.84375 0.967272727 0.18 0.84375 0.5 14 7
ScPt_group1 7 0.92 4.648 2.26 4.47 1.82 5.3968 13 99 2.95 2.74 0.9027777779999999 0.28 1.63 0.831460674 0.3 2 4 0 0.41 0.53 1.705 1.455 0.041154191 0.84375 0.981818182 0.1 0.84375 0.5 13 7
ScIr_group1 6 0.84 4.3617 2.06 4.37 1.78 5.25365 12 98 2.95 2.71 0.881944444 0.34 1.66 0.865168539 0.24 2 4 0 0.37 0.49 1.685 1.435 0.033645949 0.84375 0.9556363640000001 0.244 0.84375 0.5 12 7
ScSn_group1 11 0.6 1.5198 0.96 3.82 1.66 3.8327 7 71 3.05 2.85 0.979166667 0.06 1.58 0.7752808990000001 0.4 1 3 1 0.38 0.634 1.69 1.507 0.035456166000000004 0.90625 0.683636364 1.74 0.90625 0.3 17 8
ScCd_group1 9 0.33 0.8459 0.99 3.835 1.525 3.49575 15 69 3.15 2.92 0.972972973 0.08 1.81 0.9673913040000001 0.06 1 2 2 0.1 0.33 1.45 1.355 0.0024968779999999997 0.96875 0.805454545 1.07 0.96875 0.1 15 7
TiTc_group1 3 0.36 0.4737 0.55 3.725 1.72 3.37275 11 65 2.75 2.59 0.962121212 0.1 1.54 0.9493670890000001 0.08 1 4 0 0.32 0.13 2.02 1.445 0.025275098 0.9642857140000001 0.9735849059999999 0.14 0.9642857140000001 0.1 11 7
ScAg_group1 8 0.57 0.7794 1.1 3.89 1.645 3.4625 14 68 3.2 2.78 0.930555556 0.2 2.18 0.689922481 0.8 1 2 2 0.43 0.68 1.285 1.53 0.045172897999999996 1.0 0.8636363640000001 0.75 1.0 0.0 14 7
ScRh_group1 6 0.92 0.6534 0.96 3.82 1.82 3.3995 12 66 2.95 2.69 0.868055556 0.38 1.7 0.91011236 0.16 1 4 0 0.49 0.37 1.745 1.375 0.05825901 0.84375 0.9163636359999999 0.46 0.84375 0.5 12 7
ScRu_group1 5 0.84 0.594 1.16 3.92 1.78 3.3698 11 65 2.9 2.69 0.868055556 0.38 1.71 0.921348315 0.14 1 4 0 0.47 0.35 1.735 1.365 0.053727787 0.8125 0.947272727 0.29 0.8125 0.6 11 7
ScZn_group1 9 0.29 0.6787 1.11 3.895 1.505 3.41215 15 51 2.95 2.69 0.868055556 0.38 1.63 0.831460674 0.3 0 4 0 0.06 0.4 1.47 1.39 0.000899595 0.84375 0.683636364 1.74 0.84375 0.5 15 6
ScCu_group1 8 0.54 0.5909 1.14 3.91 1.63 3.36825 14 50 2.95 2.61 0.8125 0.54 1.6 0.797752809 0.36 0 4 0 0.42 0.66 1.29 1.52 0.043141733 0.84375 0.741818182 1.42 0.84375 0.5 14 6
ScNi_group1 7 0.55 0.5063 1.06 3.87 1.635 3.32595 13 49 2.95 2.59 0.7986111109999999 0.58 1.59 0.786516854 0.38 0 4 0 0.26 0.69 1.63 1.535 0.016757996 0.84375 0.792727273 1.14 0.84375 0.5 13 6
ScCo_group1 6 0.52 0.4248 0.96 3.82 1.62 3.2852 12 48 2.95 2.6 0.805555556 0.56 1.43 0.606741573 0.7 0 4 0 0.22 0.65 1.61 1.515 0.012027089 0.84375 0.734545455 1.46 0.84375 0.5 12 6
CaTl_group1 11 0.62 1.649 1.0 2.7 1.31 3.8373 5 101 3.7 3.22 0.850574713 0.52 2.17 0.903508772 0.22 2 1 1 0.52 0.755 1.43 1.4115 0.065365747 0.947368421 0.745 1.53 0.947368421 0.2 15 7
CaHg_group1 10 1.0 5.2341 2.71 3.555 1.5 5.62985 14 100 3.3 3.23 0.856321839 0.5 1.97 0.728070175 0.62 2 2 2 0.32 0.726 1.33 1.3969999999999998 0.025275098 0.833333333 0.803333333 1.18 0.833333333 0.6 14 6
CaCd_group1 10 0.69 0.9059 2.13 3.265 1.345 3.46575 14 68 3.35 3.22 0.850574713 0.52 2.06 0.807017544 0.44 1 0 0 0.23 0.486 1.285 1.2770000000000001 0.013137933999999999 0.8611111109999999 0.7383333329999999 1.57 0.8611111109999999 0.5 14 6
CaPd_group1 8 1.2 0.7752 2.25 3.325 1.6 3.4004 12 66 3.2 3.02 0.7356321840000001 0.92 1.92 0.684210526 0.72 1 2 2 0.91 0.556 1.625 1.3119999999999998 0.187000675 0.7777777779999999 0.816666667 1.1 0.7777777779999999 0.8 12 6
ScPd_group1 7 0.84 0.7152 1.11 3.895 1.78 3.4304 13 67 3.0 2.72 0.8888888890000001 0.32 1.67 0.8764044940000001 0.22 1 4 0 0.58 0.4 1.79 1.39 0.080660682 0.875 0.8909090909999999 0.6 0.875 0.4 13 7
CuGd_group1 8 0.7 1.4505 1.38 3.79 1.55 4.38895 14 93 3.15 2.78 0.726708075 0.88 1.79 0.657407407 0.74 2 5 1 0.02 0.76 1.09 1.47 0.0001 0.75 0.52173913 3.74 0.75 0.9 14 6
TiRu_group1 4 0.66 0.5309 1.05 3.975 1.87 3.40135 12 66 2.7 2.57 0.946969697 0.14 1.57 0.9146341459999999 0.14 1 4 0 0.11 0.16 1.915 1.46 0.0030204290000000003 0.9285714290000001 0.9904030709999999 0.05 0.9285714290000001 0.2 12 7
TiPd_group1 6 0.66 0.6521 1.0 3.95 1.87 3.46195 14 68 2.8 2.6 0.96969697 0.08 1.53 0.961538462 0.06 1 4 0 0.22 0.21 1.97 1.485 0.012027089 1.0 0.9496124029999999 0.26 1.0 0.0 14 7
CuSm_group1 8 0.73 1.2318 1.38 3.79 1.535 4.2796 14 91 3.2 2.79 0.7222222220000001 0.9 1.81 0.645454545 0.78 2 5 1 0.12 0.76 1.14 1.47 0.003593528 0.72972973 0.492753623 4.2 0.72972973 1.0 14 6
CuZr_group1 7 0.57 0.2116 0.84 4.06 1.615 3.5579 15 69 2.9 2.62 0.806896552 0.56 1.57 0.825581395 0.3 1 4 0 0.62 0.53 1.39 1.585 0.091626826 0.870967742 0.7221238940000001 1.57 0.870967742 0.4 15 7
CuY_group1 8 0.68 0.2594 1.29 3.835 1.56 3.534 14 68 3.15 2.79 0.7222222220000001 0.9 1.75 0.682692308 0.66 1 4 0 0.33 0.73 1.245 1.485 0.02685774 0.75 0.6938775509999999 1.8 0.72972973 1.0 14 6
CuZn_group1 1 0.25 0.0878 0.03 4.465 1.775 3.7076 23 59 2.7 2.42 0.9359999999999999 0.16 1.45 0.9594594590000001 0.06 0 4 0 0.36 0.26 1.26 1.72 0.031880742999999996 1.0 0.9215686270000001 0.32 1.0 0.0 23 6
NiGa_group1 3 0.1 0.5881 1.2 3.8 1.86 3.87315 13 59 2.65 2.41 0.912698413 0.22 1.46 0.921052632 0.12 0 3 1 0.06 0.124 1.73 1.818 0.000899595 0.962962963 0.7775229359999999 0.97 0.962962963 0.1 23 8
CoHf_group1 5 0.58 2.8728 0.5 4.05 1.59 4.934 13 99 2.9 2.6 0.805555556 0.56 1.39 0.635294118 0.62 2 4 0 0.01 0.68 1.725 1.5 2.5e-05 0.870967742 0.6941580759999999 1.78 0.870967742 0.4 13 7
CoZr_group1 5 0.55 0.0455 0.66 3.97 1.605 3.47485 13 67 2.9 2.61 0.8 0.58 1.4 0.627906977 0.64 1 4 0 0.02 0.52 1.71 1.58 0.0001 0.870967742 0.715044248 1.61 0.870967742 0.4 13 7
CoGa_group1 4 0.07 0.6696 1.1 3.75 1.845 3.8324 12 58 2.65 2.42 0.920634921 0.2 1.3 0.7105263159999999 0.44 0 3 1 0.02 0.084 1.71 1.798 0.0001 0.962962963 0.839108911 0.65 0.962962963 0.1 22 8
FeRh_group1 1 0.45 0.3072 0.24 4.18 2.055 3.5726 17 71 2.75 2.42 0.9359999999999999 0.16 1.5 0.851851852 0.24 1 4 0 0.32 0.24 1.83 1.68 0.025275098 0.9642857140000001 0.837301587 0.82 0.9642857140000001 0.1 17 7
FeCo_group1 1 0.05 0.0786 0.24 4.18 1.855 3.4583 17 53 2.75 2.33 0.991452991 0.02 1.23 0.7826086959999999 0.3 0 4 0 0.05 0.04 1.695 1.82 0.000624805 0.9642857140000001 0.957345972 0.18 0.9642857140000001 0.1 17 6
TiRh_group1 5 0.74 0.5903 0.85 3.875 1.91 3.43105 13 67 2.75 2.57 0.946969697 0.14 1.56 0.9259259259999999 0.12 1 4 0 0.13 0.18 1.925 1.47 0.004216087 0.9642857140000001 0.9767441859999999 0.12 0.9642857140000001 0.1 13 7
MnHg_group1 5 0.45 4.9032 1.19 4.315 1.775 5.7953 19 105 2.9 2.66 0.7852348990000001 0.64 1.64 0.975903614 0.04 2 4 0 0.55 0.01 1.765 1.755 0.072836172 0.933333333 0.921161826 0.38 0.933333333 0.2 19 7
MnRh_group1 2 0.73 0.3825 0.58 4.01 1.915 3.53495 16 70 2.75 2.42 0.9359999999999999 0.16 1.62 1.0 0.0 1 4 0 0.05 0.19 2.015 1.655 0.000624805 0.9642857140000001 0.880952381 0.6 0.9642857140000001 0.1 16 7
MnGa_group1 6 0.26 0.8235 0.52 3.46 1.68 3.75545 10 56 2.7 2.43 0.9285714290000001 0.18 1.57 0.938271605 0.1 0 3 1 0.34 0.006 1.87 1.7530000000000001 0.028486388999999997 0.9285714290000001 0.763513514 1.05 0.9285714290000001 0.2 20 8
MnZn_group1 5 0.1 0.4078 0.73 4.085 1.6 3.5476 19 55 2.75 2.42 0.9359999999999999 0.16 1.55 0.9135802470000001 0.14 0 4 0 0.6 0.16 1.74 1.67 0.086068815 0.9642857140000001 0.846846847 0.68 0.9642857140000001 0.1 19 6
VOs_group1 3 0.57 4.0314 1.3 4.25 1.915 5.2178 13 99 2.65 2.48 0.968253968 0.08 1.45 0.883116883 0.18 2 4 0 0.37 0.12 2.035 1.59 0.033645949 0.962962963 0.916981132 0.44 0.962962963 0.1 13 7
VTc_group1 2 0.27 0.4075 0.4 3.8 1.765 3.40585 12 66 2.7 2.49 0.9606299209999999 0.1 1.47 0.8607594940000001 0.22 1 4 0 0.04 0.02 2.2 1.52 0.00039992 1.0 0.916981132 0.44 1.0 0.0 12 7
VMo_group1 1 0.53 0.3527 0.3 3.75 1.895 3.37845 11 65 2.8 2.52 0.938461538 0.16 1.47 0.8607594940000001 0.22 1 4 0 0.28 0.06 2.08 1.5 0.019409169 0.931034483 0.893382353 0.58 0.931034483 0.2 11 7
VFe_group1 3 0.2 0.2169 0.46 3.83 1.73 3.31055 13 49 2.75 2.39 0.959016393 0.1 1.37 0.985507246 0.02 0 4 0 0.55 0.27 1.945 1.665 0.072836172 0.9642857140000001 0.868312757 0.64 0.9642857140000001 0.1 13 6
VMn_group1 2 0.08 0.1416 0.12 3.66 1.59 3.2729 12 48 2.75 2.39 0.959016393 0.1 1.49 0.839506173 0.26 0 4 0 0.18 0.22 2.13 1.64 0.008067283 0.9642857140000001 0.9135802470000001 0.42 0.9642857140000001 0.1 12 6
